,maker,specific_origin,reference_number,review_date,cocoa_percent,maker_location,rating,bean_type,broad_origin
0,A. Morin,Agua Grande,1876,2016,63.0,France,3.75,Blend,Sao Tome
1,A. Morin,Kpime,1676,2015,70.0,France,2.75,Blend,Togo
2,A. Morin,Atsane,1676,2015,70.0,France,3.0,Blend,Togo
3,A. Morin,Akata,1680,2015,70.0,France,3.5,Blend,Togo
4,A. Morin,Quilla,1704,2015,70.0,France,3.5,Blend,Peru
5,A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela
6,A. Morin,Cuba,1315,2014,70.0,France,3.5,Blend,Cuba
7,A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela
8,A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela
9,A. Morin,Pablino,1319,2014,70.0,France,4.0,Blend,Peru
10,A. Morin,Panama,1011,2013,70.0,France,2.75,Blend,Panama
11,A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar
12,A. Morin,Brazil,1011,2013,70.0,France,3.25,Blend,Brazil
13,A. Morin,Equateur,1011,2013,70.0,France,3.75,Blend,Ecuador
14,A. Morin,Colombie,1015,2013,70.0,France,2.75,Blend,Colombia
15,A. Morin,Birmanie,1015,2013,70.0,France,3.0,Blend,Burma
16,A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,Blend,Papua New Guinea
17,A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela
18,A. Morin,Piura,1019,2013,70.0,France,3.25,Blend,Peru
19,A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,Blend,Peru
20,A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,Blend,Peru
21,A. Morin,Bolivia,797,2012,70.0,France,3.5,Blend,Bolivia
22,A. Morin,Peru,797,2012,63.0,France,3.75,Blend,Peru
23,Acalli,"Chulucanas,El Platanal",1462,2015,70.0,U.S.A.,3.75,Blend,Peru
24,Acalli,"Tumbes,Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru
25,Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji
26,Adi,"Vanua Levu,Toto,A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji
27,Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji
28,Adi,"Vanua Levu,Ami,Ami,CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji
29,Aequare (Gianduja),"Los Rios,Quevedo,Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador
30,Aequare (Gianduja),"Los Rios,Quevedo,Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador
31,Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico
